rank,title,domain,link
1,"Magnitude 7.7 Earthquake – 68 km NNW of Ende, Indonesia",earthquake.usgs.gov,https://earthquake.usgs.gov/earthquakes/eventpage/us6000tkt2/executive
2,Qwen 3.8 27B,huggingface.co,https://huggingface.co/Qwen/Qwen3.8-27B-FP8
3,"Going Dark, and the era of law enforcement hacking",blog.cryptographyengineering.com,https://blog.cryptographyengineering.com/2026/08/14/everything-is-about-to-go-dark/
4,Simplifying and Refactoring Introductory Calculus,arxiv.org,https://arxiv.org/abs/1811.03459
5,The Ploopy A+ Trackball Is Here,blog.ploopy.co,https://blog.ploopy.co/the-aplus-is-finally-here-499
6,Google is making private AI practical with homomorphic encryption,blog.google,https://blog.google/security/how-google-is-making-private-ai-practical-with-homomorphic-encryption/
7,RustDesk now supports true unattended remote access on Wayland,rustdesk.com,https://rustdesk.com/blog/unattended-remote-access-wayland/
8,Hi-Fi Tape Recorder Changed Radio Forever,spectrum.ieee.org,https://spectrum.ieee.org/magnetophon-laugh-track
9,Corgi kills short-lived website that ranked its female employees,sf.gazetteer.co,https://sf.gazetteer.co/corgi-kills-short-lived-website-that-ranked-its-female-employees
10,Super Mario Derivations,fzakaria.com,https://fzakaria.com/2026/08/05/super-mario-derivations
